0	1
various	O
type	CAU
of	O
primer	ELE
and	O
coat	CAU
include	O
alkyd	CAU
base	CAU
primer	ELE
hot	CAU
dip	CAU
galvanize	CAU
coating	CAU
alkyd	CAU
top	CAU
coat	CAU
zinc	CAU
rich	CAU
epoxy	CAU
primer	ELE
polyamide	CAU
epoxy	CAU
primer	ELE
polyamide	CAU
epoxy	CAU
top	CAU
coat	CAU
polyurethane	CAU
coating	CAU
double	CAU
layer	ELE
of	O
epoxy	CAU
primer	ELE
and	O
alkyd	CAU
top	CAU
coat	CAU
and	O
double	CAU
layer	ELE
of	O
alkyd	CAU
primer	ELE
and	O
alkyd	CAU
top	CAU
coat	CAU
be	O
apply	O
on	O
steel	ELE
rebar	ELE
to	O
investigate	RES
the	O
effect	RES
of	O
coat	CAU
type	CAU
on	O
the	O
corrosion	DEF
resistance	DEF
of	O
steel	ELE
rebar	ELE
in	O
concrete	ELE
polarization	DEF
ray	MET
compute	MET
tomography	MET
image	MET
analysis	MET
reveal	RES
that	O
the	O
loss	DEF
of	O
cross	ELE
sectional	CAU
area	CAU
in	O
the	O
rebar	ELE
due	O
to	O
corrosion	CAU
which	O
be	O
the	O
large	RES
within	RES
mm	O
from	O
the	O
transverse	CAU
crack	DEF
be	O
generally	O
whereas	O
the	O
loss	DEF
at	O
distance	CAU
of	O
great	RES
than	RES
mm	O
from	O
the	O
transverse	CAU
crack	DEF
be	O
largely	O
decrease	RES
to	O
approximately	O
the	O
chloride	CAU
content	CAU
in	O
concrete	ELE
at	O
the	O
rebar	ELE
depth	CAU
do	O
not	RES
exceed	RES
the	O
critical	CAU
value	DEF
except	RES
in	O
area	CAU
adjacent	CAU
to	O
transverse	CAU
crack	DEF
our	O
result	RES
suggest	O
that	O
the	O
effect	RES
of	O
rebar	ELE
corrosion	DEF
on	O
long	CAU
term	CAU
crcp	CAU
deterioration	DEF
be	O
insignificant	RES
the	O
apply	CAU
voltage	CAU
and	O
chloride	CAU
concentration	CAU
be	O
the	O
major	O
factor	DEF
that	O
determine	O
the	O
quantity	CAU
of	O
electricity	CAU
allocation	DEF
for	O
oxidization	CAU
of	O
the	O
rebar	ELE
primary	CAU
reaction	DEF
the	O
amount	CAU
of	O
gas	CAU
decompose	RES
from	O
the	O
rebar	ELE
tend	O
to	O
be	O
significant	RES
when	O
the	O
apply	O
voltage	CAU
be	O
above	O
low	CAU
chloride	CAU
concentration	CAU
cl−	CAU
oh−	CAU
cause	O
more	RES
gas	DEF
generation	DEF
regardless	RES
of	O
the	O
apply	CAU
voltage	CAU
base	O
on	O
the	O
test	MET
result	RES
modify	CAU
current	CAU
efficiency	DEF
expression	MET
be	O
propose	O
consider	O
the	O
ambiguity	DEF
of	O
both	RES
the	O
valence	DEF
of	O
iron	CAU
oxide	CAU
and	O
the	O
amount	CAU
of	O
quantity	CAU
of	O
electricity	CAU
allocate	CAU
to	O
multiple	CAU
reaction	DEF
to	O
address	O
this	O
limitation	RES
pull	MET
out	MET
test	MET
be	O
perform	O
on	O
crack	CAU
specimen	ELE
to	O
investigate	RES
bond	DEF
deterioration	DEF
consider	O
the	O
influence	RES
of	O
crack	DEF
width	CAU
and	O
stirrup	ELE
it	O
be	O
conclude	O
that	O
the	O
induce	RES
crack	DEF
without	RES
corrosion	DEF
product	DEF
can	O
measure	RES
the	O
exclusive	RES
result	RES
of	O
corrosion	DEF
of	O
the	O
rebar	ELE
itself	O
after	RES
cover	ELE
crack	DEF
stirrup	ELE
become	O
the	O
primary	CAU
confinement	DEF
source	DEF
and	O
can	O
help	O
reduce	RES
bond	DEF
deterioration	DEF
finally	O
an	O
empirical	MET
formula	MET
be	O
propose	O
to	O
evaluate	RES
the	O
bond	DEF
strength	DEF
degradation	DEF
with	RES
induce	RES
crack	DEF
width	CAU
and	O
stirrup	ELE
be	O
the	O
main	CAU
parameter	CAU
comparison	O
with	RES
various	O
experimental	MET
result	RES
of	O
corrode	CAU
specimen	ELE
confirm	O
that	O
the	O
propose	O
formula	MET
can	O
give	O
satisfactory	O
the	O
resistivity	DEF
of	O
crack	CAU
shcc	ELE
against	RES
chloride	CAU
ingress	CAU
be	O
mainly	RES
govern	O
by	O
the	O
accumulate	CAU
crack	DEF
width	CAU
and	O
the	O
water	CAU
cement	ELE
ratio	CAU
chloride	CAU
pre	CAU
mix	CAU
shcc	ELE
specimen	ELE
be	O
leave	RES
in	O
high	CAU
temperature	CAU
high	CAU
humidity	CAU
chamber	MET
for	O
month	O
to	O
promote	RES
rebar	ELE
corrosion	DEF
while	O
the	O
accumulate	CAU
crack	DEF
